report_data_id,report_id,store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
57,1a0c8948-610c-447d-8d9f-42b66bb3572d,1,0.00,6.10,54.54,60.00,4.90,9.46
58,1a0c8948-610c-447d-8d9f-42b66bb3572d,2,0.00,10.99,81.68,60.00,-0.99,-21.18
59,1a0c8948-610c-447d-8d9f-42b66bb3572d,3,0.00,1.82,53.53,60.00,8.68,8.47
60,1a0c8948-610c-447d-8d9f-42b66bb3572d,4,0.00,12.00,50.39,60.00,-2.00,8.61
61,1a0c8948-610c-447d-8d9f-42b66bb3572d,5,0.00,9.00,51.62,60.00,0.50,5.38
62,1a0c8948-610c-447d-8d9f-42b66bb3572d,6,0.00,14.57,78.13,60.00,-4.07,-15.63
63,1a0c8948-610c-447d-8d9f-42b66bb3572d,7,0.00,13.15,68.22,60.00,-2.65,-3.72
64,1a0c8948-610c-447d-8d9f-42b66bb3572d,8,0.00,14.40,71.59,60.00,-3.90,-6.09
